type,it,signal_threshold,traders,random,market_maker,chartist,fundamentalist,is_recovered,time_to_recover,before_price,after_price,before_return,after_return,last_ask_orders_count,last_bid_orders_count,event_ask_orders_count,event_bid_orders_count,diff_ask_orders_count,diff_bid_orders_count,avg_diff_before_event,avg_diff_after_event
SignalThreshold,200,0,['Random'],20,1,5,10,False,,102.53,,0.001031750461317093,,1059,1550,1448,1564,-389,-14,90.09999999999991,123.0
SignalThreshold,200,0,['Random'],20,1,5,25,False,,107.49000000000001,,0.0008057856116395781,,1221,1626,1376,1575,-155,51,202.80000000000018,188.10000000000014
SignalThreshold,200,0,['Random'],50,1,5,10,False,,100.13000000000001,,0.0005759089600736069,,1399,1702,1505,1615,-106,87,104.20000000000005,99.5
SignalThreshold,200,0,['Random'],50,1,5,25,False,,101.94,,0.0002652671836404928,,1227,1791,1561,1618,-334,173,51.69999999999982,37.299999999999955
SignalThreshold,200,0,['Random'],20,1,10,10,False,,99.71,,0.000835731708195204,,812,1602,1585,1494,-773,108,99.0,76.0
SignalThreshold,200,0,['Random'],20,1,10,25,False,,103.12,,0.0005217451527922726,,1215,1560,1458,1594,-243,-34,143.89999999999986,132.60000000000014
SignalThreshold,200,0,['Random'],50,1,10,10,False,,102.22,,0.0006126864277834739,,1405,1706,1581,1614,-176,92,16.59999999999991,27.40000000000009
SignalThreshold,200,0,['Random'],50,1,10,25,False,,93.28999999999999,,0.0006552361763210327,,1639,1444,1616,1422,23,22,211.0999999999999,189.60000000000014
SignalThreshold,200,0,['Random'],20,1,25,10,False,,104.74000000000001,,0.000834040278090683,,1287,1686,1495,1562,-208,124,65.29999999999995,73.60000000000014
SignalThreshold,200,0,['Random'],20,1,25,25,False,,100.81,,0.0007660004631662498,,1117,1687,1609,1585,-492,102,12.700000000000045,40.799999999999955
SignalThreshold,200,0,['Random'],50,1,25,10,False,,101.77000000000001,,0.000859450249946187,,1296,1920,1611,1683,-315,237,88.70000000000005,63.90000000000009
SignalThreshold,200,0,['Random'],50,1,25,25,False,,102.53000000000002,,0.0006584093455037528,,1234,1805,1577,1721,-343,84,119.39999999999986,91.70000000000005
SignalThreshold,200,0,['Random'],20,5,5,10,False,,99.27000000000001,,0.0003278941963010357,,1589,1324,1542,1572,47,-248,26.199999999999818,18.399999999999864
SignalThreshold,200,0,['Random'],20,5,5,25,False,,100.29,,0.0009903964901679884,,1570,1312,1576,1468,-6,-156,92.59999999999991,101.70000000000005
SignalThreshold,200,0,['Random'],50,5,5,10,False,,97.86999999999999,,0.0002665998704078094,,1819,1535,1684,1563,135,-28,117.0,117.90000000000009
SignalThreshold,200,0,['Random'],50,5,5,25,False,,105.47999999999999,,0.0008165901260251626,,1522,1370,1452,1686,70,-316,199.4000000000001,240.20000000000005
SignalThreshold,200,0,['Random'],20,5,10,10,False,,96.27000000000001,,0.0001088639372622184,,1110,1469,1612,1452,-502,17,139.89999999999986,171.30000000000018
SignalThreshold,200,0,['Random'],20,5,10,25,False,,102.16,,0.00026556947317448224,,1586,1263,1547,1509,39,-246,38.90000000000009,41.100000000000136
SignalThreshold,200,0,['Random'],50,5,10,10,False,,105.42999999999999,,0.0005543755450169463,,1630,1671,1465,1614,165,57,162.70000000000005,156.89999999999986
SignalThreshold,200,0,['Random'],50,5,10,25,False,,98.31,,0.0003769588820333538,,1573,1617,1639,1577,-66,40,64.79999999999995,64.0
SignalThreshold,200,0,['Random'],20,5,25,10,False,,105.1,,0.0008170867995554196,,1428,1760,1426,1616,2,144,181.0,197.70000000000005
SignalThreshold,200,0,['Random'],20,5,25,25,False,,94.44000000000001,,5.418820038067869e-05,,1732,1116,1662,1431,70,-315,203.79999999999995,245.70000000000005
SignalThreshold,200,0,['Random'],50,5,25,10,False,,100.42,,0.0006613164326092758,,1377,1860,1673,1583,-296,277,84.5,91.69999999999982
SignalThreshold,200,0,['Random'],50,5,25,25,False,,99.74,,0.0005639305576582654,,1717,1477,1661,1644,56,-167,1.6000000000001364,2.2999999999999545
SignalThreshold,200,0,['Random'],20,10,5,10,False,,95.35000000000001,,6.0803022445635134e-05,,1257,1409,1561,1438,-304,-29,120.0,127.79999999999995
SignalThreshold,200,0,['Random'],20,10,5,25,False,,95.99000000000001,,0.000714315128842917,,1297,1483,1587,1392,-290,91,153.69999999999982,190.4000000000001
SignalThreshold,200,0,['Random'],50,10,5,10,False,,102.89000000000001,,0.0008955211888605927,,1533,1734,1522,1672,11,62,139.89999999999986,138.4000000000001
SignalThreshold,200,0,['Random'],50,10,5,25,False,,102.35000000000001,,0.0008363896897974375,,881,1782,1582,1641,-701,141,65.79999999999995,82.70000000000005
SignalThreshold,200,0,['Random'],20,10,10,10,False,,95.52999999999999,,0.00016919982161091546,,1460,1356,1565,1430,-105,-74,119.70000000000005,134.4000000000001
SignalThreshold,200,0,['Random'],20,10,10,25,False,,96.92,,0.0008409010165914898,,1527,1493,1558,1429,-31,64,132.29999999999995,124.10000000000014
SignalThreshold,200,0,['Random'],50,10,10,10,False,,99.38,,0.0005562475439817221,,1806,1491,1685,1610,121,-119,91.70000000000005,81.5
SignalThreshold,200,0,['Random'],50,10,10,25,False,,100.82,,1.8657924119762706e-06,,1334,1754,1556,1599,-222,155,48.40000000000009,31.0
SignalThreshold,200,0,['Random'],20,10,25,10,False,,98.42,,0.0004565245389153586,,1689,1571,1663,1574,26,-3,99.0,89.60000000000014
SignalThreshold,200,0,['Random'],20,10,25,25,False,,97.25,,-6.494248028981863e-06,,1528,1433,1589,1554,-61,-121,50.09999999999991,38.5
