,Threshold_1,Threshold_2,Type,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,KolmogorovSmirnov_PValue
0,0,1,avg_event_change,0.2656999999999999917399406967888353392482,0.2530999999999999916511228548188228160143,0.3140000000000000013322676295501878485084,0.3140999999999999903188552252686349675059,0.1814999999999999946709294817992486059666
1,0,2,avg_event_change,0.5215999999999999525712723880133125931025,0.5836000000000000076383344094210769981146,0.5924000000000000376587649952853098511696,0.5926000000000000156319401867222040891647,0.3175999999999999934274796942190732806921
2,0,5,avg_event_change,0.0990000000000000046629367034256574697793,0.0830999999999999933164573917565576266497,0.1265000000000000013322676295501878485084,0.1265999999999999903188552252686349675059,0.0601000000000000006439293542825907934457
3,0,10,avg_event_change,0.8500999999999999667821271032153163105249,0.6735999999999999765520897199166938662529,0.9263000000000000122568621918617282062769,0.9265999999999999792166249790170695632696,0.8739999999999999991118215802998747676611
4,1,2,avg_event_change,0.5464999999999999857891452847979962825775,0.3186999999999999833022457096376456320286,0.5646999999999999797495320308371447026730,0.5648999999999999577227072222740389406681,0.7377000000000000223820961764431558549404
5,1,5,avg_event_change,0.6301999999999999824140672899375203996897,0.8778000000000000246913600676634814590216,0.5290000000000000257571741713036317378283,0.5292000000000000037303493627405259758234,0.5846999999999999975131004248396493494511
6,1,10,avg_event_change,0.3511000000000000231814567541732685640454,0.3869000000000000216715534406830556690693,0.3206999999999999850786025490378960967064,0.3207999999999999740651901447563432157040,0.3758000000000000229150032282632309943438
7,2,5,avg_event_change,0.2270999999999999963140595582444802857935,0.1847000000000000030642155479654320515692,0.2288000000000000033750779948604758828878,0.2290000000000000091038288019262836314738,0.2660000000000000142108547152020037174225
8,2,10,avg_event_change,0.5611000000000000431654711974260862916708,0.5822000000000000508038056068471632897854,0.6108999999999999985789145284797996282578,0.6111999999999999655386773156351409852505,0.4403000000000000246913600676634814590216
9,5,10,avg_event_change,0.1496000000000000107469588783715153113008,0.2748999999999999777067216655268566682935,0.1137999999999999983790743840472714509815,0.1137999999999999983790743840472714509815,0.0958999999999999991340260407923778984696
