2024-03-25 02:13:58,660.660	INFO	[main.py:37]	Config: {"exchange": {"volume": 3000}, "traders": [{"count": 10, "type": "Random", "cash": 1000, "assets": 0}, {"count": 10, "type": "Random", "cash": 1000, "assets": 0}, {"count": 10, "type": "Chartist", "cash": 1000, "assets": 0}, {"count": 10, "type": "MarketMaker", "cash": 10000, "softlimit": 100, "assets": 0}], "events": [{"type": "SignalThreshold", "it": 200, "signal_threshold": 1, "traders": []}], "size": 10, "window": 5, "stability_threshold": 5, "iterations": 1000}
2024-03-25 02:13:58,661.661	ERROR	[main.py:43]	Scenario: scenario1. Configs: [240]
2024-03-25 02:13:58,661.661	ERROR	[main.py:48]	Config: #0
2024-03-25 02:13:58,661.661	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 5, 'traders': ['Random']}]
2024-03-25 02:13:59,739.739	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 5, 'traders': ['Random']}. State it: 19
2024-03-25 02:14:01,551.551	ERROR	[main.py:48]	Config: #1
2024-03-25 02:14:01,551.551	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 5, 'traders': ['Random']}]
2024-03-25 02:14:02,758.758	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 5, 'traders': ['Random']}. State it: 19
2024-03-25 02:14:04,528.528	ERROR	[main.py:48]	Config: #2
2024-03-25 02:14:04,528.528	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 5, 'traders': ['Random']}]
2024-03-25 02:14:06,190.190	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 5, 'traders': ['Random']}. State it: 19
2024-03-25 02:14:08,133.133	ERROR	[main.py:48]	Config: #3
2024-03-25 02:14:08,134.134	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 5, 'traders': ['Random']}]
2024-03-25 02:14:10,131.131	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 5, 'traders': ['Random']}. State it: 19
2024-03-25 02:14:11,962.962	ERROR	[main.py:48]	Config: #4
