type,it,signal_threshold,traders,random,market_maker,chartist,fundamentalist,is_recovered,time_to_recover,before_price,after_price,before_return,after_return,last_ask_orders_count,last_bid_orders_count,event_ask_orders_count,event_bid_orders_count,diff_ask_orders_count,diff_bid_orders_count,avg_diff_before_event,avg_diff_after_event
SignalThreshold,200,1,['Random'],20,1,5,10,False,,103.31000000000002,,0.0011691956158715274,,1132,1550,1448,1548,-316,2,88.20000000000005,98.09999999999991
SignalThreshold,200,1,['Random'],20,1,5,25,False,,88.81,,-0.0004777973738961834,,1621,781,1568,1233,53,-452,328.8000000000002,347.29999999999995
SignalThreshold,200,1,['Random'],50,1,5,10,False,,96.76,,0.00044407120946325657,,1882,1290,1655,1509,227,-219,109.89999999999986,145.9000000000001
SignalThreshold,200,1,['Random'],50,1,5,25,False,,104.61999999999998,,0.000831125396379574,,1303,1576,1524,1672,-221,-96,131.20000000000005,188.5999999999999
SignalThreshold,200,1,['Random'],20,1,10,10,False,,100.29999999999998,,0.00074868609988214,,1008,1628,1542,1488,-534,140,63.0,43.59999999999991
SignalThreshold,200,1,['Random'],20,1,10,25,False,,98.99,,0.0003838565407192031,,1221,1639,1587,1518,-366,121,79.20000000000005,73.59999999999991
SignalThreshold,200,1,['Random'],50,1,10,10,False,,96.22,,0.00029905981476025027,,1489,1637,1676,1575,-187,62,96.89999999999986,99.40000000000009
SignalThreshold,200,1,['Random'],50,1,10,25,False,,93.94,,0.00038844123243132224,,1795,1636,1686,1529,109,107,176.5,170.9000000000001
SignalThreshold,200,1,['Random'],20,1,25,10,False,,97.67000000000002,,0.00015901073217867867,,1645,1268,1588,1546,57,-278,40.0,49.59999999999991
SignalThreshold,200,1,['Random'],20,1,25,25,False,,90.63000000000001,,-0.00012843331033126037,,1727,749,1596,1304,131,-555,283.39999999999986,292.5
SignalThreshold,200,1,['Random'],50,1,25,10,False,,94.45,,0.0003273504799205919,,1871,1481,1693,1488,178,-7,197.10000000000014,203.0
SignalThreshold,200,1,['Random'],50,1,25,25,False,,108.71999999999998,,0.0009727123469649862,,770,1947,1381,1721,-611,226,317.70000000000005,348.10000000000014
SignalThreshold,200,1,['Random'],20,5,5,10,False,,99.91999999999999,,0.0007720067936888247,,622,1585,1575,1482,-953,103,103.29999999999995,81.79999999999995
SignalThreshold,200,1,['Random'],20,5,5,25,False,,106.62,,0.0006377975776138998,,1272,1539,1380,1591,-108,-52,217.60000000000014,236.79999999999995
SignalThreshold,200,1,['Random'],50,5,5,10,False,,101.23999999999998,,0.00012507406028158864,,1407,1806,1536,1647,-129,159,98.29999999999995,109.29999999999995
SignalThreshold,200,1,['Random'],50,5,5,25,False,,99.50999999999999,,0.0005458135375354034,,835,1782,1587,1570,-752,212,7.2000000000000455,8.5
SignalThreshold,200,1,['Random'],20,5,10,10,False,,98.73,,0.0002673509338976412,,1666,934,1551,1512,115,-578,46.200000000000045,45.19999999999982
SignalThreshold,200,1,['Random'],20,5,10,25,False,,101.16,,0.0002915093485298269,,1283,1617,1543,1573,-260,44,40.40000000000009,27.09999999999991
SignalThreshold,200,1,['Random'],50,5,10,10,False,,101.52000000000001,,0.0006942323660005527,,1530,1835,1601,1627,-71,208,28.0,36.799999999999955
SignalThreshold,200,1,['Random'],50,5,10,25,False,,90.21,,-0.000208302298631441,,1751,1189,1624,1318,127,-129,298.5,312.20000000000005
SignalThreshold,200,1,['Random'],20,5,25,10,False,,100.05999999999999,,0.0005414547189740818,,1543,1630,1605,1552,-62,78,63.200000000000045,65.90000000000009
SignalThreshold,200,1,['Random'],20,5,25,25,False,,96.63000000000001,,0.0006267057691989369,,1686,723,1650,1521,36,-798,122.09999999999991,144.5
SignalThreshold,200,1,['Random'],50,5,25,10,False,,99.47999999999999,,0.00033308885790482893,,1754,1730,1651,1685,103,45,38.0,31.299999999999955
SignalThreshold,200,1,['Random'],50,5,25,25,False,,102.60999999999999,,0.0002688779580628761,,1271,1908,1547,1689,-276,219,172.70000000000005,136.20000000000005
SignalThreshold,200,1,['Random'],20,10,5,10,False,,101.26,,0.0007462897809629265,,878,1600,1546,1562,-668,38,18.899999999999864,10.700000000000045
SignalThreshold,200,1,['Random'],20,10,5,25,False,,102.65,,0.000348045303882581,,1412,1352,1415,1517,-3,-165,107.0,95.0
SignalThreshold,200,1,['Random'],50,10,5,10,False,,97.33000000000001,,0.0002119388974115074,,1685,1669,1712,1562,-27,107,142.9000000000001,158.29999999999995
SignalThreshold,200,1,['Random'],50,10,5,25,False,,95.5,,0.0003728124337863077,,880,1763,1656,1486,-776,277,142.9000000000001,166.5999999999999
SignalThreshold,200,1,['Random'],20,10,10,10,False,,103.72,,0.0007729133643307372,,1449,1574,1422,1573,27,1,140.0,152.70000000000005
SignalThreshold,200,1,['Random'],20,10,10,25,False,,95.64,,0.00010066084144684765,,1621,1241,1571,1417,50,-176,147.29999999999995,166.70000000000005
SignalThreshold,200,1,['Random'],50,10,10,10,False,,103.58,,0.0007540592685921549,,1454,1780,1505,1633,-51,147,135.39999999999986,128.39999999999986
SignalThreshold,200,1,['Random'],50,10,10,25,False,,102.22,,0.0007202977691972453,,1610,1501,1550,1705,60,-204,118.70000000000005,169.70000000000005
SignalThreshold,200,1,['Random'],20,10,25,10,False,,102.62,,0.0007656736450844384,,1535,1468,1522,1656,13,-188,118.29999999999995,133.70000000000005
SignalThreshold,200,1,['Random'],20,10,25,25,False,,101.87,,0.00121507076744463,,1695,1537,1528,1566,167,-29,20.5,33.799999999999955
SignalThreshold,200,1,['Random'],50,10,25,10,False,,100.21000000000002,,0.0005623229638554634,,1524,1915,1709,1647,-185,268,66.29999999999995,68.0
SignalThreshold,200,1,['Random'],50,10,25,25,False,,103.50999999999999,,0.0007925490816823917,,1114,1921,1597,1686,-483,235,84.5,86.0
SignalThreshold,200,1,['Random'],20,25,5,10,False,,98.19000000000003,,0.0004968262791102616,,1246,1523,1585,1505,-339,18,83.20000000000005,80.5
SignalThreshold,200,1,['Random'],20,25,5,25,False,,102.97,,0.0009192724929195237,,836,1542,1510,1524,-674,18,6.599999999999909,19.399999999999864
SignalThreshold,200,1,['Random'],50,25,5,10,False,,101.01,,0.0006340676915516232,,1289,1802,1648,1672,-359,130,8.0,5.0
SignalThreshold,200,1,['Random'],50,25,5,25,False,,97.84,,0.00012363896775580848,,1732,1343,1728,1580,4,-237,133.70000000000005,167.29999999999995
SignalThreshold,200,1,['Random'],20,25,10,10,False,,100.54,,0.0006623774820742105,,931,1670,1639,1553,-708,117,84.90000000000009,82.40000000000009
SignalThreshold,200,1,['Random'],20,25,10,25,False,,99.83999999999999,,0.000258904562233519,,1420,1370,1482,1635,-62,-265,136.5999999999999,136.39999999999986
SignalThreshold,200,1,['Random'],50,25,10,10,False,,98.22,,0.00045695793004742544,,1481,1725,1698,1633,-217,92,68.60000000000014,59.0
SignalThreshold,200,1,['Random'],50,25,10,25,False,,100.56,,2.3218054167045886e-05,,1602,1831,1575,1684,27,147,99.70000000000005,107.79999999999995
SignalThreshold,200,1,['Random'],20,25,25,10,False,,98.1,,0.0003238455283457864,,1769,1081,1655,1565,114,-484,105.79999999999995,86.29999999999995
SignalThreshold,200,1,['Random'],20,25,25,25,False,,103.23999999999998,,0.0006016894762788946,,887,1809,1484,1635,-597,174,138.9000000000001,155.0999999999999
SignalThreshold,200,1,['Random'],50,25,25,10,False,,98.47999999999999,,0.0005018389259879598,,1839,1773,1738,1642,101,131,88.20000000000005,93.5
SignalThreshold,200,1,['Random'],50,25,25,25,False,,100.30999999999999,,0.0005813456662495526,,1444,1812,1713,1723,-269,89,8.100000000000136,18.899999999999864
SignalThreshold,200,1,['Random'],20,100,5,10,False,,98.75999999999998,,0.00029639786451825093,,1701,1478,1640,1611,61,-133,27.90000000000009,32.5
