2024-03-25 10:16:17,959.959	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:19,764.764	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:21,672.672	ERROR	[main.py:48]	Config: #15
2024-03-25 10:16:21,672.672	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:24,112.112	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:25,860.860	ERROR	[main.py:48]	Config: #16
2024-03-25 10:16:25,860.860	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:26,961.961	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:28,699.699	ERROR	[main.py:48]	Config: #17
2024-03-25 10:16:28,699.699	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:30,139.139	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:31,848.848	ERROR	[main.py:48]	Config: #18
2024-03-25 10:16:31,848.848	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:33,874.874	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:33,874.874	INFO	[export.py:81]	205
2024-03-25 10:16:33,874.874	INFO	[export.py:82]	125
2024-03-25 10:16:35,877.877	ERROR	[main.py:48]	Config: #19
2024-03-25 10:16:35,877.877	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:37,842.842	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:39,523.523	ERROR	[main.py:48]	Config: #20
2024-03-25 10:16:39,523.523	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:41,020.020	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:42,713.713	ERROR	[main.py:48]	Config: #21
2024-03-25 10:16:42,713.713	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:44,423.423	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:46,122.122	ERROR	[main.py:48]	Config: #22
2024-03-25 10:16:46,122.122	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:48,566.566	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:50,273.273	ERROR	[main.py:48]	Config: #23
2024-03-25 10:16:50,273.273	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:52,722.722	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:54,441.441	ERROR	[main.py:48]	Config: #24
2024-03-25 10:16:54,441.441	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:55,516.516	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:57,184.184	ERROR	[main.py:48]	Config: #25
2024-03-25 10:16:57,185.185	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:58,410.410	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:17:00,112.112	ERROR	[main.py:48]	Config: #26
