2024-03-25 14:52:34,854.854	INFO	[main.py:37]	Config: {"exchange": {"volume": 3000}, "traders": [{"count": 10, "type": "Random", "cash": 1000, "assets": 0}, {"count": 10, "type": "Random", "cash": 1000, "assets": 0}, {"count": 10, "type": "Chartist", "cash": 1000, "assets": 0}, {"count": 10, "type": "MarketMaker", "cash": 10000, "softlimit": 100, "assets": 0}], "events": [{"type": "SignalThreshold", "it": 200, "signal_threshold": 1, "traders": []}], "size": 10, "window": 5, "stability_threshold": 5, "iterations": 1000}
2024-03-25 14:52:34,855.855	ERROR	[main.py:43]	Scenario: scenario1. Configs: [240]
2024-03-25 14:52:34,855.855	ERROR	[main.py:48]	Config: #0
2024-03-25 14:52:34,855.855	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:52:35,933.933	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:52:37,887.887	ERROR	[main.py:48]	Config: #1
2024-03-25 14:52:37,887.887	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:52:39,085.085	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:52:40,827.827	ERROR	[main.py:48]	Config: #2
2024-03-25 14:52:40,827.827	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:52:42,428.428	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:52:44,183.183	ERROR	[main.py:48]	Config: #3
2024-03-25 14:52:44,183.183	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:52:46,155.155	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:52:47,921.921	ERROR	[main.py:48]	Config: #4
2024-03-25 14:52:47,921.921	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:52:49,150.150	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:52:50,866.866	ERROR	[main.py:48]	Config: #5
2024-03-25 14:52:50,866.866	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:52:52,177.177	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:52:53,956.956	ERROR	[main.py:48]	Config: #6
2024-03-25 14:52:53,956.956	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:52:55,759.759	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:52:57,546.546	ERROR	[main.py:48]	Config: #7
2024-03-25 14:52:57,547.547	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:52:59,408.408	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:53:01,133.133	ERROR	[main.py:48]	Config: #8
2024-03-25 14:53:01,133.133	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:53:02,590.590	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:53:04,399.399	ERROR	[main.py:48]	Config: #9
2024-03-25 14:53:04,399.399	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:53:06,068.068	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:53:07,822.822	ERROR	[main.py:48]	Config: #10
2024-03-25 14:53:07,822.822	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
2024-03-25 14:53:10,204.204	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}. State it: 19
2024-03-25 14:53:12,026.026	ERROR	[main.py:48]	Config: #11
2024-03-25 14:53:12,027.027	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 0, 'traders': ['Random']}]
