2024-03-25 01:53:16,070.070	INFO	[main.py:37]	Config: {"exchange": {"volume": 3000}, "traders": [{"count": 10, "type": "Random", "cash": 1000, "assets": 0}, {"count": 10, "type": "Random", "cash": 1000, "assets": 0}, {"count": 10, "type": "Chartist", "cash": 1000, "assets": 0}, {"count": 10, "type": "MarketMaker", "cash": 10000, "softlimit": 100, "assets": 0}], "events": [{"type": "SignalThreshold", "it": 200, "signal_threshold": 1, "traders": []}], "size": 10, "window": 5, "stability_threshold": 5, "iterations": 1000}
2024-03-25 01:53:16,071.071	ERROR	[main.py:43]	Scenario: scenario1. Configs: [240]
2024-03-25 01:53:16,071.071	ERROR	[main.py:48]	Config: #0
2024-03-25 01:53:16,071.071	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
2024-03-25 01:53:17,154.154	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}. State it: 19
2024-03-25 01:53:18,948.948	ERROR	[main.py:48]	Config: #1
2024-03-25 01:53:18,948.948	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
2024-03-25 01:53:20,135.135	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}. State it: 19
2024-03-25 01:53:21,866.866	ERROR	[main.py:48]	Config: #2
2024-03-25 01:53:21,866.866	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
2024-03-25 01:53:23,712.712	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}. State it: 19
2024-03-25 01:53:25,446.446	ERROR	[main.py:48]	Config: #3
2024-03-25 01:53:25,446.446	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
2024-03-25 01:53:27,350.350	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}. State it: 19
2024-03-25 01:53:29,051.051	ERROR	[main.py:48]	Config: #4
2024-03-25 01:53:29,051.051	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
2024-03-25 01:53:30,365.365	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}. State it: 19
2024-03-25 01:53:32,108.108	ERROR	[main.py:48]	Config: #5
2024-03-25 01:53:32,108.108	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
2024-03-25 01:53:33,573.573	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}. State it: 19
2024-03-25 01:53:35,395.395	ERROR	[main.py:48]	Config: #6
2024-03-25 01:53:35,395.395	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
2024-03-25 01:53:37,468.468	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}. State it: 19
2024-03-25 01:53:39,305.305	ERROR	[main.py:48]	Config: #7
2024-03-25 01:53:39,305.305	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
2024-03-25 01:53:41,426.426	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}. State it: 19
2024-03-25 01:53:43,140.140	ERROR	[main.py:48]	Config: #8
2024-03-25 01:53:43,140.140	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
2024-03-25 01:53:44,671.671	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}. State it: 19
2024-03-25 01:53:46,526.526	ERROR	[main.py:48]	Config: #9
2024-03-25 01:53:46,526.526	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 1, 'traders': ['Random']}]
