type,it,signal_threshold,traders,random,market_maker,chartist,fundamentalist,is_recovered,time_to_recover,before_price,after_price,before_return,after_return,last_ask_orders_count,last_bid_orders_count,event_ask_orders_count,event_bid_orders_count,diff_ask_orders_count,diff_bid_orders_count,avg_diff_before_event,avg_diff_after_event
SignalThreshold,200,10,['Random'],20,10,25,25,False,,100.63999999999999,,0.00036442466906212755,,1143,1778,1528,1595,-385,183,73.20000000000005,57.90000000000009
SignalThreshold,200,10,['Random'],50,10,25,10,False,,101.65,,0.0007836206717279985,,1590,1896,1601,1710,-11,186,101.5,102.0
SignalThreshold,200,10,['Random'],50,10,25,25,False,,92.91000000000001,,-5.400248834891408e-05,,1968,1529,1726,1429,242,100,266.5999999999999,322.9000000000001
SignalThreshold,200,10,['Random'],20,25,5,10,False,,99.55,,0.00029979134454586795,,1370,1645,1555,1614,-185,31,72.59999999999991,65.0
SignalThreshold,200,10,['Random'],20,25,5,25,False,,103.55999999999999,,0.0006056576858221392,,962,1575,1526,1568,-564,7,55.399999999999864,37.799999999999955
SignalThreshold,200,10,['Random'],50,25,5,10,False,,97.47,,0.0003490834916802808,,1624,1725,1664,1651,-40,74,3.5,14.299999999999955
SignalThreshold,200,10,['Random'],50,25,5,25,False,,97.52,,0.0013457688067432798,,1888,1441,1584,1430,304,11,154.29999999999995,154.89999999999986
SignalThreshold,200,10,['Random'],20,25,10,10,False,,97.76000000000002,,0.0004804073402786281,,1636,1603,1631,1542,5,61,81.40000000000009,96.5
SignalThreshold,200,10,['Random'],20,25,10,25,False,,103.45,,0.00023324753541425388,,494,1663,1424,1554,-930,109,122.80000000000018,133.79999999999995
SignalThreshold,200,10,['Random'],50,25,10,10,False,,99.58000000000001,,0.00048822446898275757,,1892,1755,1728,1708,164,47,0.599999999999909,7.699999999999818
SignalThreshold,200,10,['Random'],50,25,10,25,False,,95.82000000000001,,0.00045892244546078014,,1833,1389,1675,1520,158,-131,133.9000000000001,157.5999999999999
SignalThreshold,200,10,['Random'],20,25,25,10,False,,96.58,,0.00022953683811251482,,1611,1545,1633,1516,-22,29,106.5,122.29999999999995
SignalThreshold,200,10,['Random'],20,25,25,25,False,,100.80999999999999,,0.0006688907299621235,,1545,1568,1585,1621,-40,-53,27.299999999999955,64.0
SignalThreshold,200,10,['Random'],50,25,25,10,False,,101.10000000000001,,0.0006632160105887919,,1578,1977,1680,1754,-102,223,55.5,73.90000000000009
SignalThreshold,200,10,['Random'],50,25,25,25,False,,98.96000000000001,,0.0003786651326216847,,1955,1399,1684,1623,271,-224,42.600000000000136,87.29999999999995
SignalThreshold,200,10,['Random'],20,100,5,10,False,,101.79999999999998,,0.0006731234584706282,,1526,1774,1610,1673,-84,101,62.100000000000136,66.0
SignalThreshold,200,10,['Random'],20,100,5,25,True,0.0,99.0,98.92999999999998,0.0005071356931137652,0.0005248694557258197,810,1650,1654,1676,-844,-26,28.700000000000045,50.19999999999982
SignalThreshold,200,10,['Random'],50,100,5,10,False,,98.83999999999999,,0.00039960055780780245,,1976,1861,1778,1683,198,178,106.10000000000014,95.20000000000005
SignalThreshold,200,10,['Random'],50,100,5,25,False,,101.88,,0.0007154063649204542,,1177,1830,1663,1734,-486,96,69.5,85.59999999999991
SignalThreshold,200,10,['Random'],20,100,10,10,False,,100.39999999999999,,0.0006506873916309584,,1812,1680,1684,1726,128,-46,42.799999999999955,40.200000000000045
SignalThreshold,200,10,['Random'],20,100,10,25,False,,100.94,,0.0007931038874381403,,1592,1501,1638,1621,-46,-120,19.299999999999955,22.399999999999864
SignalThreshold,200,10,['Random'],50,100,10,10,False,,101.03,,0.0006532670489062628,,1869,2038,1730,1848,139,190,110.5,112.29999999999995
SignalThreshold,200,10,['Random'],50,100,10,25,True,145.0,101.33999999999999,101.88999999999999,0.000638992300095604,0.0006769998618293299,1148,1865,1706,1720,-558,145,18.199999999999818,3.400000000000091
SignalThreshold,200,10,['Random'],20,100,25,10,False,,99.78999999999999,,0.0005000959336081835,,1764,1955,1739,1701,25,254,39.19999999999982,41.299999999999955
SignalThreshold,200,10,['Random'],20,100,25,25,False,,95.67,,0.00016699717144045428,,1615,1452,1682,1548,-67,-96,134.5999999999999,145.70000000000005
SignalThreshold,200,10,['Random'],50,100,25,10,True,775.0,98.71000000000001,95.81999999999998,0.0003720888119457231,0.00040108400002955666,2130,1849,1872,1743,258,106,134.0,129.5
SignalThreshold,200,10,['Random'],50,100,25,25,False,,99.63000000000002,,0.0005683898988250973,,1669,1862,1866,1768,-197,94,97.5,88.69999999999982
SignalThreshold,200,10,['Chartist'],20,1,5,10,False,,95.09,,0.00013193006486984283,,1281,1414,1546,1390,-265,24,154.4000000000001,161.0
SignalThreshold,200,10,['Chartist'],20,1,5,25,False,,101.26000000000002,,0.00040392775739205543,,802,1518,1495,1545,-693,-27,59.5,51.59999999999991
SignalThreshold,200,10,['Chartist'],50,1,5,10,False,,100.67999999999999,,0.0007066090131490216,,1849,1643,1605,1621,244,22,19.200000000000045,22.90000000000009
SignalThreshold,200,10,['Chartist'],50,1,5,25,False,,98.59,,0.0008304368893644179,,1591,1520,1646,1526,-55,-6,118.20000000000005,95.5
SignalThreshold,200,10,['Chartist'],20,1,10,10,False,,97.66000000000001,,-7.667360300495295e-05,,1499,1469,1468,1492,31,-23,25.59999999999991,22.5
SignalThreshold,200,10,['Chartist'],20,1,10,25,False,,104.53,,0.0010545587705935952,,1275,1601,1462,1514,-187,87,55.09999999999991,68.29999999999995
SignalThreshold,200,10,['Chartist'],50,1,10,10,False,,96.88999999999999,,0.0003747353301707128,,1748,1781,1658,1582,90,199,58.59999999999991,82.09999999999991
SignalThreshold,200,10,['Chartist'],50,1,10,25,False,,90.89999999999999,,0.0001278403164141668,,1867,1292,1644,1342,223,-50,302.0999999999999,320.20000000000005
SignalThreshold,200,10,['Chartist'],20,1,25,10,False,,102.57000000000001,,0.0007206977673889795,,1487,1764,1535,1591,-48,173,63.40000000000009,67.70000000000005
SignalThreshold,200,10,['Chartist'],20,1,25,25,False,,106.45,,0.0005826730177335663,,1413,1427,1427,1591,-14,-164,176.5,195.4000000000001
SignalThreshold,200,10,['Chartist'],50,1,25,10,False,,102.22000000000001,,0.00037991630631401376,,1754,1595,1563,1662,191,-67,112.20000000000005,77.29999999999995
